ITEM,LIST,CONDITION,CONDITION_RC,CONDITION_NUMBER,MC_SUBJ_NUMBER,SENTENCE,QUESTION,CORRECT,WRONG,TYPE,MC_SUBJ,RC,MC_VERB,SPILL-OVER
33,1,1,SRC,Match,PL,The professors*that*questioned*the students*during the break*provided*guidance*on research methods.,Did the professors fail to provide any instruction regarding methodology?,F,J,item,The professors*,that*questioned*the students*during the break*,provided*,guidance*on research methods.
33,2,2,SRC,Mismatch,PL,The professors*that*questioned*the student*during the break*provided*guidance*on research methods.,Did the professors fail to provide any instruction regarding methodology?,F,J,item,The professors*,that*questioned*the student*during the break*,provided*,guidance*on research methods.
33,3,3,ORC,Match,PL,The professors*that*the students*questioned*during the break*provided*guidance*on research methods.,Did the professors fail to provide any instruction regarding methodology?,F,J,item,The professors*,that*the students*questioned*during the break*,provided*,guidance*on research methods.
33,4,4,ORC,Mismatch,PL,The professors*that*the student*questioned*during the break*provided*guidance*on research methods.,Did the professors fail to provide any instruction regarding methodology?,F,J,item,The professors*,that*the student*questioned*during the break*,provided*,guidance*on research methods.
34,2,1,SRC,Match,PL,The patients*that*trusted*the doctors*throughout the years*showed*improvement*in their health.,Did the conditions of the patients get worse?,F,J,item,The patients*,that*trusted*the doctors*throughout the years*,showed*,improvement*in their health.
34,3,2,SRC,Mismatch,PL,The patients*that*trusted*the doctor*throughout the years*showed*improvement*in their health.,Did the conditions of the patients get worse?,F,J,item,The patients*,that*trusted*the doctor*throughout the years*,showed*,improvement*in their health.
34,4,3,ORC,Match,PL,The patients*that*the doctors*trusted*throughout the years*showed*improvement*in their health.,Did the conditions of the patients get worse?,F,J,item,The patients*,that*the doctors*trusted*throughout the years*,showed*,improvement*in their health.
34,1,4,ORC,Mismatch,PL,The patients*that*the doctor*trusted*throughout the years*showed*improvement*in their health.,Did the conditions of the patients get worse?,F,J,item,The patients*,that*the doctor*trusted*throughout the years*,showed*,improvement*in their health.
35,3,1,SRC,Match,PL,The clients*that*trusted*the consultants*in the meeting*implemented*strategies*discussed earlier.,Did the clients fail to follow the discussed strategies?,F,J,item,The clients*,that*trusted*the consultants*in the meeting*,implemented*,strategies*discussed earlier.
35,4,2,SRC,Mismatch,PL,The clients*that*trusted*the consultant*in the meeting*implemented*strategies*discussed earlier.,Did the clients fail to follow the discussed strategies?,F,J,item,The clients*,that*trusted*the consultant*in the meeting*,implemented*,strategies*discussed earlier.
35,1,3,ORC,Match,PL,The clients*that*the consultants*trusted*in the meeting*implemented*strategies*discussed earlier.,Did the clients fail to follow the discussed strategies?,F,J,item,The clients*,that*the consultants*trusted*in the meeting*,implemented*,strategies*discussed earlier.
35,2,4,ORC,Mismatch,PL,The clients*that*the consultant*trusted*in the meeting*implemented*strategies*discussed earlier.,Did the clients fail to follow the discussed strategies?,F,J,item,The clients*,that*the consultant*trusted*in the meeting*,implemented*,strategies*discussed earlier.
36,4,1,SRC,Match,PL,The celebrities*that*harassed*the waiters*on the weekend*called*security*following the incident.,Did the famous people call security?,J,F,item,The celebrities*,that*harassed*the waiters*on the weekend*,called*,security*following the incident.
36,1,2,SRC,Mismatch,PL,The celebrities*that*harassed*the waiter*on the weekend*called*security*following the incident.,Did the famous people call security?,J,F,item,The celebrities*,that*harassed*the waiter*on the weekend*,called*,security*following the incident.
36,2,3,ORC,Match,PL,The celebrities*that*the waiters*harassed*on the weekend*called*security*following the incident.,Did the famous people call security?,J,F,item,The celebrities*,that*the waiters*harassed*on the weekend*,called*,security*following the incident.
36,3,4,ORC,Mismatch,PL,The celebrities*that*the waiter*harassed*on the weekend*called*security*following the incident.,Did the famous people call security?,J,F,item,The celebrities*,that*the waiter*harassed*on the weekend*,called*,security*following the incident.
1001,1,1001,Filler,Filler,Filler,The manager*has been working on*this project*for months.,Has the manager not been working on this project for long?,F,J,filler,Filler,Filler,Filler,Filler
1002,1,1001,Filler,Filler,Filler,The student*enjoys reading*mystery novels*in free time.,Does the student dislike reading novels?,F,J,filler,Filler,Filler,Filler,Filler
1003,1,1001,Filler,Filler,Filler,The group*will arrive*at the station*by 6 PM.,Will the group arrive at the station after 6 PM?,F,J,filler,Filler,Filler,Filler,Filler
1004,1,1001,Filler,Filler,Filler,I know*that*my brother*plans to visit*Japan*next year.,Is your brother planning to visit Korea instead of Japan next year?,F,J,filler,Filler,Filler,Filler,Filler
1005,1,1001,Filler,Filler,Filler,The store*closes*early on Sundays.,Does the store stay open late on Sundays?,F,J,filler,Filler,Filler,Filler,Filler
1006,1,1001,Filler,Filler,Filler,The flatmates*have to finish*this report*before the deadline.,Do the flatmates not need to finish this report before the deadline?,F,J,filler,Filler,Filler,Filler,Filler
1007,1,1001,Filler,Filler,Filler,The employee*spoke with*the director*about the upcoming event.,Did the worker talk with the director about the previous events.,F,J,filler,Filler,Filler,Filler,Filler
1008,1,1001,Filler,Filler,Filler,The weather*will be*much colder*next week.,Will the weather stay warm next week?,F,J,filler,Filler,Filler,Filler,Filler
1009,1,1001,Filler,Filler,Filler,The team*is preparing for*the annual company meeting.,Is the team preparing for the weekly meeting?,F,J,filler,Filler,Filler,Filler,Filler
1010,1,1001,Filler,Filler,Filler,The customer*wants to try*the new restaurant*downtown.,Is the restaurant in the suburban area?,F,J,filler,Filler,Filler,Filler,Filler
1011,1,1001,Filler,Filler,Filler,The kids*are playing*soccer*in the park*right now.,Are the kids playing tennis?,F,J,filler,Filler,Filler,Filler,Filler
1012,1,1001,Filler,Filler,Filler,I know*that*my friend*just started*a new job*in marketing.,Did the friend start working in engineering?,F,J,filler,Filler,Filler,Filler,Filler
1013,1,1001,Filler,Filler,Filler,The concert attendees*had*a great time*last night.,Did the concert attendees have a good time tonight?,F,J,filler,Filler,Filler,Filler,Filler
1014,1,1001,Filler,Filler,Filler,The student*needs to submit*the assignment*by Friday.,Do the students need to submit the assignment by Monday?,F,J,filler,Filler,Filler,Filler,Filler
1015,1,1001,Filler,Filler,Filler,The musician*has been practicing*the guitar*for hours.,Did the musician stop practicing the guitar?,F,J,filler,Filler,Filler,Filler,Filler
1016,1,1001,Filler,Filler,Filler,The son and father*will meet*at the café*around 3 PM*tomorrow.,Will the son see the mother at the café?,F,J,filler,Filler,Filler,Filler,Filler
1017,1,1001,Filler,Filler,Filler,The flight*was delayed*due to*bad weather.,Was the flight cancelled because of an accident?,F,J,filler,Filler,Filler,Filler,Filler
1018,1,1001,Filler,Filler,Filler,The commuter*prefers to take*the bus*instead of driving.,Does the commuter always drive the car to the workplace?,F,J,filler,Filler,Filler,Filler,Filler
1019,1,1001,Filler,Filler,Filler,The hikers*usually*go hiking*on the weekends.,Do the hikers go hiking on weekends?,J,F,filler,Filler,Filler,Filler,Filler
1020,1,1001,Filler,Filler,Filler,The company*will announce*the new policy soon.,Will the new policy be announced by the company soon?,J,F,filler,Filler,Filler,Filler,Filler
1021,1,1001,Filler,Filler,Filler,The granddaughter*often*visits*her grandparents*on the weekend.,Does the granddaughter often visit her grandparents on the weekend?,J,F,filler,Filler,Filler,Filler,Filler
1022,1,1001,Filler,Filler,Filler,The shopper*bought*a new laptop*last week.,Did the shopper buy a new laptop last week?,J,F,filler,Filler,Filler,Filler,Filler
1023,1,1001,Filler,Filler,Filler,The couple*decided to move*to a bigger apartment.,Did the couple decide to move to another apartment?,J,F,filler,Filler,Filler,Filler,Filler
1024,1,1001,Filler,Filler,Filler,The traffic*is*terrible*during rush hour.,Is the traffic bad during rush hour?,J,F,filler,Filler,Filler,Filler,Filler
1025,1,1001,Filler,Filler,Filler,The swimmer*goes swimming*every morning*before work.,Does the swimmer go swimming every morning before work?,J,F,filler,Filler,Filler,Filler,Filler
1026,1,1001,Filler,Filler,Filler,The athlete*will join*the football team*this year.,Will the athlete choose to join the football team this year?,J,F,filler,Filler,Filler,Filler,Filler
1027,1,1001,Filler,Filler,Filler,The team members*discussed*the project*at length*during the meeting.,Did the team members discuss the project during the meeting?,J,F,filler,Filler,Filler,Filler,Filler
1028,1,1001,Filler,Filler,Filler,The diner*always*orders*the same dish*at that restaurant.,Does the diner usually order the same dish at that restaurant?,J,F,filler,Filler,Filler,Filler,Filler
1029,1,1001,Filler,Filler,Filler,The night owl*prefers to work*late at night*when*it's quiet.,Does the night owl work late at night?,J,F,filler,Filler,Filler,Filler,Filler
1030,1,1001,Filler,Filler,Filler,The family*is hosting*a big reunion*next month.,Is there a big reunion of the family next month?,J,F,filler,Filler,Filler,Filler,Filler
1031,1,1001,Filler,Filler,Filler,The passenger*took*the wrong bus*and*got lost*yesterday.,Did the passenger get lost?,J,F,filler,Filler,Filler,Filler,Filler
1032,1,1001,Filler,Filler,Filler,The restaurant*serves*breakfast*until 11 AM.,Does the restaurant serve breakfast until 11 AM?,J,F,filler,Filler,Filler,Filler,Filler
1033,1,1001,Filler,Filler,Filler,The staff*plans to redecorate*the entrance*soon.,Is the staff planning to redecorate the entrance?,J,F,filler,Filler,Filler,Filler,Filler
1034,1,1001,Filler,Filler,Filler,The guests*are attending*a wedding*next weekend.,Are the guests attending a wedding next weekend?,J,F,filler,Filler,Filler,Filler,Filler
1035,1,1001,Filler,Filler,Filler,The pensioner*usually*reads*the newspaper*every morning.,Does the retired person read the newspaper every morning?,J,F,filler,Filler,Filler,Filler,Filler
1036,1,1001,Filler,Filler,Filler,The new member*signed up*for a yoga class*after work.,Did the new member register for a yoga class?,J,F,filler,Filler,Filler,Filler,Filler
1001,2,1001,Filler,Filler,Filler,The manager*has been working on*this project*for months.,Has the manager not been working on this project for long?,F,J,filler,Filler,Filler,Filler,Filler
1002,2,1001,Filler,Filler,Filler,The student*enjoys reading*mystery novels*in free time.,Does the student dislike reading novels?,F,J,filler,Filler,Filler,Filler,Filler
1003,2,1001,Filler,Filler,Filler,The group*will arrive*at the station*by 6 PM.,Will the group arrive at the station after 6 PM?,F,J,filler,Filler,Filler,Filler,Filler
1004,2,1001,Filler,Filler,Filler,I know*that*my brother*plans to visit*Japan*next year.,Is your brother planning to visit Korea instead of Japan next year?,F,J,filler,Filler,Filler,Filler,Filler
1005,2,1001,Filler,Filler,Filler,The store*closes*early on Sundays.,Does the store stay open late on Sundays?,F,J,filler,Filler,Filler,Filler,Filler
1006,2,1001,Filler,Filler,Filler,The flatmates*have to finish*this report*before the deadline.,Do the flatmates not need to finish this report before the deadline?,F,J,filler,Filler,Filler,Filler,Filler
1007,2,1001,Filler,Filler,Filler,The employee*spoke with*the director*about the upcoming event.,Did the worker talk with the director about the previous events?,F,J,filler,Filler,Filler,Filler,Filler
1008,2,1001,Filler,Filler,Filler,The weather*will be*much colder*next week.,Will the weather stay warm next week?,F,J,filler,Filler,Filler,Filler,Filler
1009,2,1001,Filler,Filler,Filler,The team*is preparing for*the annual company meeting.,Is the team preparing for the weekly meeting?,F,J,filler,Filler,Filler,Filler,Filler
1010,2,1001,Filler,Filler,Filler,The customer*wants to try*the new restaurant*downtown.,Is the restaurant in the suburban area?,F,J,filler,Filler,Filler,Filler,Filler
1011,2,1001,Filler,Filler,Filler,The kids*are playing*soccer*in the park*right now.,Are the kids playing tennis?,F,J,filler,Filler,Filler,Filler,Filler
1012,2,1001,Filler,Filler,Filler,I know*that*my friend*just started*a new job*in marketing.,Did the friend start working in engineering?,F,J,filler,Filler,Filler,Filler,Filler
1013,2,1001,Filler,Filler,Filler,The concert attendees*had*a great time*last night.,Did the concert attendees have a good time tonight?,F,J,filler,Filler,Filler,Filler,Filler
1014,2,1001,Filler,Filler,Filler,The student*needs to submit*the assignment*by Friday.,Do the students need to submit the assignment by Monday?,F,J,filler,Filler,Filler,Filler,Filler
1015,2,1001,Filler,Filler,Filler,The musician*has been practicing*the guitar*for hours.,Did the musician stop practicing the guitar?,F,J,filler,Filler,Filler,Filler,Filler
1016,2,1001,Filler,Filler,Filler,The son and father*will meet*at the café*around 3 PM*tomorrow.,Will the son see the mother at the café?,F,J,filler,Filler,Filler,Filler,Filler
1017,2,1001,Filler,Filler,Filler,The flight*was delayed*due to*bad weather.,Was the flight cancelled because of an accident?,F,J,filler,Filler,Filler,Filler,Filler
1018,2,1001,Filler,Filler,Filler,The commuter*prefers to take*the bus*instead of driving.,Does the commuter always drives the car to the workplace?,F,J,filler,Filler,Filler,Filler,Filler
1019,2,1001,Filler,Filler,Filler,The hikers*usually*go hiking*on the weekends.,Do the hikers go hiking on weekends?,J,F,filler,Filler,Filler,Filler,Filler
1020,2,1001,Filler,Filler,Filler,The company*will announce*the new policy soon.,Will the new policy be announced by the company soon?,J,F,filler,Filler,Filler,Filler,Filler
1021,2,1001,Filler,Filler,Filler,The granddaughter*often*visits*her grandparents*on the weekend.,Does the granddaughter often visit her grandparents on the weekend?,J,F,filler,Filler,Filler,Filler,Filler
1022,2,1001,Filler,Filler,Filler,The shopper*bought*a new laptop*last week.,Did the shopper buy a new laptop last week?,J,F,filler,Filler,Filler,Filler,Filler
1023,2,1001,Filler,Filler,Filler,The couple*decided to move*to a bigger apartment.,Did the couple decide to move to another apartment?,J,F,filler,Filler,Filler,Filler,Filler
1024,2,1001,Filler,Filler,Filler,The traffic*is*terrible*during rush hour.,Is the traffic bad during rush hour?,J,F,filler,Filler,Filler,Filler,Filler
1025,2,1001,Filler,Filler,Filler,The swimmer*goes swimming*every morning*before work.,Does the swimmer go swimming every morning before work?,J,F,filler,Filler,Filler,Filler,Filler
1026,2,1001,Filler,Filler,Filler,The athlete*will join*the football team*this year.,Will the athlete choose to join the football team this year?,J,F,filler,Filler,Filler,Filler,Filler
1027,2,1001,Filler,Filler,Filler,The team members*discussed*the project*at length*during the meeting.,Did the team members discuss the project during the meeting?,J,F,filler,Filler,Filler,Filler,Filler
1028,2,1001,Filler,Filler,Filler,The diner*always*orders*the same dish*at that restaurant.,Does the diner usually order the same dish at that restaurant?,J,F,filler,Filler,Filler,Filler,Filler
1029,2,1001,Filler,Filler,Filler,The night owl*prefers to work*late at night*when*it's quiet.,Does the night owl work late at night?,J,F,filler,Filler,Filler,Filler,Filler
1030,2,1001,Filler,Filler,Filler,The family*is hosting*a big reunion*next month.,Is there a big reunion of the family next month?,J,F,filler,Filler,Filler,Filler,Filler
1031,2,1001,Filler,Filler,Filler,The passenger*took*the wrong bus*and*got lost*yesterday.,Did the passenger get lost?,J,F,filler,Filler,Filler,Filler,Filler
1032,2,1001,Filler,Filler,Filler,The restaurant*serves*breakfast*until 11 AM.,Does the restaurant serve breakfast until 11 AM?,J,F,filler,Filler,Filler,Filler,Filler
1033,2,1001,Filler,Filler,Filler,The staff*plans to redecorate*the entrance*soon.,Is the staff planning to redecorate the entrance?,J,F,filler,Filler,Filler,Filler,Filler
1034,2,1001,Filler,Filler,Filler,The guests*are attending*a wedding*next weekend.,Are the guests attending a wedding next weekend?,J,F,filler,Filler,Filler,Filler,Filler
1035,2,1001,Filler,Filler,Filler,The pensioner*usually*reads*the newspaper*every morning.,Does the retired person read the newspaper every morning?,J,F,filler,Filler,Filler,Filler,Filler
1036,2,1001,Filler,Filler,Filler,The new member*signed up*for a yoga class*after work.,Did the new member register for a yoga class?,J,F,filler,Filler,Filler,Filler,Filler
1001,3,1001,Filler,Filler,Filler,The manager*has been working on*this project*for months.,Has the manager not been working on this project for long?,F,J,filler,Filler,Filler,Filler,Filler
1002,3,1001,Filler,Filler,Filler,The student*enjoys reading*mystery novels*in free time.,Does the student dislike reading novels?,F,J,filler,Filler,Filler,Filler,Filler
1003,3,1001,Filler,Filler,Filler,The group*will arrive*at the station*by 6 PM.,Will the group arrive at the station after 6 PM?,F,J,filler,Filler,Filler,Filler,Filler
1004,3,1001,Filler,Filler,Filler,I know*that*my brother*plans to visit*Japan*next year.,Is your brother planning to visit Korea instead of Japan next year?,F,J,filler,Filler,Filler,Filler,Filler
1005,3,1001,Filler,Filler,Filler,The store*closes*early on Sundays.,Does the store stay open late on Sundays?,F,J,filler,Filler,Filler,Filler,Filler
1006,3,1001,Filler,Filler,Filler,The flatmates*have to finish*this report*before the deadline.,Do the flatmates not need to finish this report before the deadline?,F,J,filler,Filler,Filler,Filler,Filler
1007,3,1001,Filler,Filler,Filler,The employee*spoke with*the director*about the upcoming event.,Did the worker talk with the director about the previous events?,F,J,filler,Filler,Filler,Filler,Filler
1008,3,1001,Filler,Filler,Filler,The weather*will be*much colder*next week.,Will the weather stay warm next week?,F,J,filler,Filler,Filler,Filler,Filler
1009,3,1001,Filler,Filler,Filler,The team*is preparing for*the annual company meeting.,Is the team preparing for the weekly meeting?,F,J,filler,Filler,Filler,Filler,Filler
1010,3,1001,Filler,Filler,Filler,The customer*wants to try*the new restaurant*downtown.,Is the restaurant in the suburban area?,F,J,filler,Filler,Filler,Filler,Filler
1011,3,1001,Filler,Filler,Filler,The kids*are playing*soccer*in the park*right now.,Are the kids playing tennis?,F,J,filler,Filler,Filler,Filler,Filler
1012,3,1001,Filler,Filler,Filler,I know*that*my friend*just started*a new job*in marketing.,Did the friend start working in engineering?,F,J,filler,Filler,Filler,Filler,Filler
1013,3,1001,Filler,Filler,Filler,The concert attendees*had*a great time*last night.,Did the concert attendees have a good time tonight?,F,J,filler,Filler,Filler,Filler,Filler
1014,3,1001,Filler,Filler,Filler,The student*needs to submit*the assignment*by Friday.,Do the students need to submit the assignment by Monday?,F,J,filler,Filler,Filler,Filler,Filler
1015,3,1001,Filler,Filler,Filler,The musician*has been practicing*the guitar*for hours.,Did the musician stop practicing the guitar?,F,J,filler,Filler,Filler,Filler,Filler
1016,3,1001,Filler,Filler,Filler,The son and father*will meet*at the café*around 3 PM*tomorrow.,Will the son see the mother at the café?,F,J,filler,Filler,Filler,Filler,Filler
1017,3,1001,Filler,Filler,Filler,The flight*was delayed*due to*bad weather.,Was the flight cancelled because of an accident?,F,J,filler,Filler,Filler,Filler,Filler
1018,3,1001,Filler,Filler,Filler,The commuter*prefers to take*the bus*instead of driving.,Does the commuter always drive the car to the workplace?,F,J,filler,Filler,Filler,Filler,Filler
1019,3,1001,Filler,Filler,Filler,The hikers*usually*go hiking*on the weekends.,Do the hikers go hiking on weekends?,J,F,filler,Filler,Filler,Filler,Filler
1020,3,1001,Filler,Filler,Filler,The company*will announce*the new policy soon.,Is the new policy will be announced by the company soon?,J,F,filler,Filler,Filler,Filler,Filler
1021,3,1001,Filler,Filler,Filler,The granddaughter*often*visits*her grandparents*on the weekend.,Does the granddaughter often visit her grandparents on the weekend?,J,F,filler,Filler,Filler,Filler,Filler
1022,3,1001,Filler,Filler,Filler,The shopper*bought*a new laptop*last week.,Did the shopper buy a new laptop last week?,J,F,filler,Filler,Filler,Filler,Filler
1023,3,1001,Filler,Filler,Filler,The couple*decided to move*to a bigger apartment.,Did the couple decide to move to another apartment?,J,F,filler,Filler,Filler,Filler,Filler
1024,3,1001,Filler,Filler,Filler,The traffic*is*terrible*during rush hour.,Is the traffic bad during rush hour?,J,F,filler,Filler,Filler,Filler,Filler
1025,3,1001,Filler,Filler,Filler,The swimmer*goes swimming*every morning*before work.,Does the swimmer go swimming every morning before work?,J,F,filler,Filler,Filler,Filler,Filler
1026,3,1001,Filler,Filler,Filler,The athlete*will join*the football team*this year.,Will the athlete choose to join the football team this year?,J,F,filler,Filler,Filler,Filler,Filler
1027,3,1001,Filler,Filler,Filler,The team members*discussed*the project*at length*during the meeting.,Did the team members discuss the project during the meeting?,J,F,filler,Filler,Filler,Filler,Filler
1028,3,1001,Filler,Filler,Filler,The diner*always*orders*the same dish*at that restaurant.,Does the diner usually order the same dish at that restaurant?,J,F,filler,Filler,Filler,Filler,Filler
1029,3,1001,Filler,Filler,Filler,The night owl*prefers to work*late at night*when*it's quiet.,Does the night owl work late at night?,J,F,filler,Filler,Filler,Filler,Filler
1030,3,1001,Filler,Filler,Filler,The family*is hosting*a big reunion*next month.,Is there a big reunion of the family next month?,J,F,filler,Filler,Filler,Filler,Filler
1031,3,1001,Filler,Filler,Filler,The passenger*took*the wrong bus*and*got lost*yesterday.,Did the passenger get lost?,J,F,filler,Filler,Filler,Filler,Filler
1032,3,1001,Filler,Filler,Filler,The restaurant*serves*breakfast*until 11 AM.,Does the restaurant serve breakfast until 11 AM?,J,F,filler,Filler,Filler,Filler,Filler
1033,3,1001,Filler,Filler,Filler,The staff*plans to redecorate*the entrance*soon.,Is the staff planning to redecorate the entrance?,J,F,filler,Filler,Filler,Filler,Filler
1034,3,1001,Filler,Filler,Filler,The guests*are attending*a wedding*next weekend.,Are the guests attending a wedding next weekend?,J,F,filler,Filler,Filler,Filler,Filler
1035,3,1001,Filler,Filler,Filler,The pensioner*usually*reads*the newspaper*every morning.,Does the retired person read the newspaper every morning?,J,F,filler,Filler,Filler,Filler,Filler
1036,3,1001,Filler,Filler,Filler,The new member*signed up*for a yoga class*after work.,Did the new member register for a yoga class?,J,F,filler,Filler,Filler,Filler,Filler
1001,4,1001,Filler,Filler,Filler,The manager*has been working on*this project*for months.,Has the manager not been working on this project for long?,F,J,filler,Filler,Filler,Filler,Filler
1002,4,1001,Filler,Filler,Filler,The student*enjoys reading*mystery novels*in free time.,Does the student dislike reading novels?,F,J,filler,Filler,Filler,Filler,Filler
1003,4,1001,Filler,Filler,Filler,The group*will arrive*at the station*by 6 PM.,Will the group arrive at the station after 6 PM?,F,J,filler,Filler,Filler,Filler,Filler
1004,4,1001,Filler,Filler,Filler,I know*that*my brother*plans to visit*Japan*next year.,Is your brother planning to visit Korea instead of Japan next year?,F,J,filler,Filler,Filler,Filler,Filler
1005,4,1001,Filler,Filler,Filler,The store*closes*early on Sundays.,Does the store stay open late on Sundays?,F,J,filler,Filler,Filler,Filler,Filler
1006,4,1001,Filler,Filler,Filler,The flatmates*have to finish*this report*before the deadline.,Do the flatmates not need to finish this report before the deadline?,F,J,filler,Filler,Filler,Filler,Filler
1007,4,1001,Filler,Filler,Filler,The employee*spoke with*the director*about the upcoming event.,Did the worker talk with the director about the previous events?,F,J,filler,Filler,Filler,Filler,Filler
1008,4,1001,Filler,Filler,Filler,The weather*will be*much colder*next week.,Will the weather stay warm next week?,F,J,filler,Filler,Filler,Filler,Filler
1009,4,1001,Filler,Filler,Filler,The team*is preparing for*the annual company meeting.,Is the team preparing for the weekly meeting?,F,J,filler,Filler,Filler,Filler,Filler
1010,4,1001,Filler,Filler,Filler,The customer*wants to try*the new restaurant*downtown.,Is the restaurant in the suburban area?,F,J,filler,Filler,Filler,Filler,Filler
1011,4,1001,Filler,Filler,Filler,The kids*are playing*soccer*in the park*right now.,Are the kids playing tennis?,F,J,filler,Filler,Filler,Filler,Filler
1012,4,1001,Filler,Filler,Filler,I know*that*my friend*just started*a new job*in marketing.,Did the friend start working in engineering?,F,J,filler,Filler,Filler,Filler,Filler
1013,4,1001,Filler,Filler,Filler,The concert attendees*had*a great time*last night.,Did the concert attendees have a good time tonight?,F,J,filler,Filler,Filler,Filler,Filler
1014,4,1001,Filler,Filler,Filler,The student*needs to submit*the assignment*by Friday.,Do the students need to submit the assignment by Monday?,F,J,filler,Filler,Filler,Filler,Filler
1015,4,1001,Filler,Filler,Filler,The musician*has been practicing*the guitar*for hours.,Did the musician stop practicing the guitar?,F,J,filler,Filler,Filler,Filler,Filler
1016,4,1001,Filler,Filler,Filler,The son and father*will meet*at the café*around 3 PM*tomorrow.,Will the son see the mother at the café?,F,J,filler,Filler,Filler,Filler,Filler
1017,4,1001,Filler,Filler,Filler,The flight*was delayed*due to*bad weather.,Was the flight cancelled because of an accident?,F,J,filler,Filler,Filler,Filler,Filler
1018,4,1001,Filler,Filler,Filler,The commuter*prefers to take*the bus*instead of driving.,Does the commuter always drive the car to the workplace?,F,J,filler,Filler,Filler,Filler,Filler
1019,4,1001,Filler,Filler,Filler,The hikers*usually*go hiking*on the weekends.,Do the hikers go hiking on weekends?,J,F,filler,Filler,Filler,Filler,Filler
1020,4,1001,Filler,Filler,Filler,The company*will announce*the new policy soon.,Will the new policy be announced by the company soon?,J,F,filler,Filler,Filler,Filler,Filler
1021,4,1001,Filler,Filler,Filler,The granddaughter*often*visits*her grandparents*on the weekend.,Does the granddaughter often visit her grandparents on the weekend?,J,F,filler,Filler,Filler,Filler,Filler
1022,4,1001,Filler,Filler,Filler,The shopper*bought*a new laptop*last week.,Did the shopper buy a new laptop last week?,J,F,filler,Filler,Filler,Filler,Filler
1023,4,1001,Filler,Filler,Filler,The couple*decided to move*to a bigger apartment.,Did the couple decide to move to another apartment?,J,F,filler,Filler,Filler,Filler,Filler
1024,4,1001,Filler,Filler,Filler,The traffic*is*terrible*during rush hour.,Is the traffic bad during rush hour?,J,F,filler,Filler,Filler,Filler,Filler
1025,4,1001,Filler,Filler,Filler,The swimmer*goes swimming*every morning*before work.,Does the swimmer go swimming every morning before work?,J,F,filler,Filler,Filler,Filler,Filler
1026,4,1001,Filler,Filler,Filler,The athlete*will join*the football team*this year.,Will the athlete choose to join the football team this year?,J,F,filler,Filler,Filler,Filler,Filler
1027,4,1001,Filler,Filler,Filler,The team members*discussed*the project*at length*during the meeting.,Did the team members discuss the project during the meeting?,J,F,filler,Filler,Filler,Filler,Filler
1028,4,1001,Filler,Filler,Filler,The diner*always*orders*the same dish*at that restaurant.,Does the diner usually order the same dish at that restaurant?,J,F,filler,Filler,Filler,Filler,Filler
1029,4,1001,Filler,Filler,Filler,The night owl*prefers to work*late at night*when*it's quiet.,Does the night owl work late at night?,J,F,filler,Filler,Filler,Filler,Filler
1030,4,1001,Filler,Filler,Filler,The family*is hosting*a big reunion*next month.,Is there a big reunion of the family next month?,J,F,filler,Filler,Filler,Filler,Filler
1031,4,1001,Filler,Filler,Filler,The passenger*took*the wrong bus*and*got lost*yesterday.,Did the passenger get lost?,J,F,filler,Filler,Filler,Filler,Filler
1032,4,1001,Filler,Filler,Filler,The restaurant*serves*breakfast*until 11 AM.,Does the restaurant serve breakfast until 11 AM?,J,F,filler,Filler,Filler,Filler,Filler
1033,4,1001,Filler,Filler,Filler,The staff*plans to redecorate*the entrance*soon.,Is the staff planning to redecorate the entrance?,J,F,filler,Filler,Filler,Filler,Filler
1034,4,1001,Filler,Filler,Filler,The guests*are attending*a wedding*next weekend.,Are the guests attending a wedding next weekend?,J,F,filler,Filler,Filler,Filler,Filler
1035,4,1001,Filler,Filler,Filler,The pensioner*usually*reads*the newspaper*every morning.,Does the retired person read the newspaper every morning?,J,F,filler,Filler,Filler,Filler,Filler
1036,4,1001,Filler,Filler,Filler,The new member*signed up*for a yoga class*after work.,Did the new member register for a yoga class?,J,F,filler,Filler,Filler,Filler,Filler
2001,1,0,Exercise,Exercise,Exercise,This*is*a practice sentence*that*includes*a question.,Is this a practice test sentence?,J,F,exercise,exercise,exercise,exercise,exercise
2002,1,0,Exercise,Exercise,Exercise,A question*appears*after*you*read*a sentence.,Does a question appear after a sentence is read?,J,F,exercise,exercise,exercise,exercise,exercise
2003,1,0,Exercise,Exercise,Exercise,The experimenter*hopes*that*you will*pay attention.,Are you required to pay attention?,J,F,exercise,exercise,exercise,exercise,exercise
2004,1,0,Exercise,Exercise,Exercise,You*are*already*familiar with*this experiment.,Are you already familiar with this experiment?,J,F,exercise,exercise,exercise,exercise,exercise
2001,2,0,Exercise,Exercise,Exercise,This*is*a practice sentence*that*includes*a question.,Is this a practice test sentence?,J,F,exercise,exercise,exercise,exercise,exercise
2002,2,0,Exercise,Exercise,Exercise,A question*appears*after*you*read*a sentence.,Does a question appear after a sentence is read?,J,F,exercise,exercise,exercise,exercise,exercise
2003,2,0,Exercise,Exercise,Exercise,The experimenter*hopes*that*you will*pay attention.,Are you required to pay attention?,J,F,exercise,exercise,exercise,exercise,exercise
2004,2,0,Exercise,Exercise,Exercise,You*are*already*familiar with*this experiment.,Are you already familiar with this experiment?,J,F,exercise,exercise,exercise,exercise,exercise
